ticker,downloaded
MMM,False
AOS,False
ABT,False
ABBV,False
ACN,False
ADBE,False
AMD,False
AES,False
AFL,False
A,False
APD,False
ABNB,False
AKAM,False
ALB,False
ARE,False
ALGN,False
ALLE,False
LNT,False
ALL,False
GOOGL,False
GOOG,False
MO,False
AMZN,False
AMCR,False
AEE,False
AEP,False
AXP,False
AIG,False
AMT,False
AWK,False
AMP,False
AME,False
AMGN,False
APH,False
ADI,False
AON,False
APA,False
APO,False
AAPL,False
AMAT,False
APP,False
APTV,False
ACGL,False
ADM,False
ARES,False
ANET,False
AJG,False
AIZ,False
T,False
ATO,False
ADSK,False
ADP,False
AZO,False
AVB,False
AVY,False
AXON,False
BKR,False
BALL,False
BAC,False
BAX,False
BDX,False
BRK-B,False
BBY,False
TECH,False
BIIB,False
BLK,False
BX,False
XYZ,False
BK,False
BA,False
BKNG,False
BSX,False
BMY,False
AVGO,False
BR,False
BRO,False
BF-B,False
BLDR,False
BG,False
BXP,False
CHRW,False
CDNS,False
CPT,False
CPB,False
COF,False
CAH,False
CCL,False
CARR,False
CVNA,False
CASY,False
CAT,False
CBOE,False
CBRE,False
CDW,False
COR,False
CNC,False
CNP,False
CF,False
CRL,False
SCHW,False
CHTR,False
CVX,False
CMG,False
CB,False
CHD,False
CIEN,False
CI,False
CINF,False
CTAS,False
CSCO,False
C,False
CFG,False
CLX,False
CME,False
CMS,False
KO,False
CTSH,False
COHR,False
COIN,False
CL,False
CMCSA,False
FIX,False
CAG,False
COP,False
ED,False
STZ,False
CEG,False
COO,False
CPRT,False
GLW,False
CPAY,False
CTVA,False
CSGP,False
COST,False
CTRA,False
CRH,False
CRWD,False
CCI,False
CSX,False
CMI,False
CVS,False
DHR,False
DRI,False
DDOG,False
DVA,False
DECK,False
DE,False
DELL,False
DAL,False
DVN,False
DXCM,False
FANG,False
DLR,False
DG,False
DLTR,False
D,False
DPZ,False
DASH,False
DOV,False
DOW,False
DHI,False
DTE,False
DUK,False
DD,False
ETN,False
EBAY,False
SATS,False
ECL,False
EIX,False
EW,False
EA,False
ELV,False
EME,False
EMR,False
ETR,False
EOG,False
EPAM,False
EQT,False
EFX,False
EQIX,False
EQR,False
ERIE,False
ESS,False
EL,False
EG,False
EVRG,False
ES,False
EXC,False
EXE,False
EXPE,False
EXPD,False
EXR,False
XOM,False
FFIV,False
FDS,False
FICO,False
FAST,False
FRT,False
FDX,False
FIS,False
FITB,False
FSLR,False
FE,False
FISV,False
F,False
FTNT,False
FTV,False
FOXA,False
FOX,False
BEN,False
FCX,False
GRMN,False
IT,False
GE,False
GEHC,False
GEV,False
GEN,False
GNRC,False
GD,False
GIS,False
GM,False
GPC,False
GILD,False
GPN,False
GL,False
GDDY,False
GS,False
HAL,False
HIG,False
HAS,False
HCA,False
DOC,False
HSIC,False
HSY,False
HPE,False
HLT,False
HD,False
HON,False
HRL,False
HST,False
HWM,False
HPQ,False
HUBB,False
HUM,False
HBAN,False
HII,False
IBM,False
IEX,False
IDXX,False
ITW,False
INCY,False
IR,False
PODD,False
INTC,False
IBKR,False
ICE,False
IFF,False
IP,False
INTU,False
ISRG,False
IVZ,False
INVH,False
IQV,False
IRM,False
JBHT,False
JBL,False
JKHY,False
J,False
JNJ,False
JCI,False
JPM,False
KVUE,False
KDP,False
KEY,False
KEYS,False
KMB,False
KIM,False
KMI,False
KKR,False
KLAC,False
KHC,False
KR,False
LHX,False
LH,False
LRCX,False
LVS,False
LDOS,False
LEN,False
LII,False
LLY,False
LIN,False
LYV,False
LMT,False
L,False
LOW,False
LULU,False
LITE,False
LYB,False
MTB,False
MPC,False
MAR,False
MRSH,False
MLM,False
MAS,False
MA,False
MKC,False
MCD,False
MCK,False
MDT,False
MRK,False
META,False
MET,False
MTD,False
MGM,False
MCHP,False
MU,False
MSFT,False
MAA,False
MRNA,False
TAP,False
MDLZ,False
MPWR,False
MNST,False
MCO,False
MS,False
MOS,False
MSI,False
MSCI,False
NDAQ,False
NTAP,False
NFLX,False
NEM,False
NWSA,False
NWS,False
NEE,False
NKE,False
NI,False
NDSN,False
NSC,False
NTRS,False
NOC,False
NCLH,False
NRG,False
NUE,False
NVDA,False
NVR,False
NXPI,False
ORLY,False
OXY,False
ODFL,False
OMC,False
ON,False
OKE,False
ORCL,False
OTIS,False
PCAR,False
PKG,False
PLTR,False
PANW,False
PSKY,False
PH,False
PAYX,False
PYPL,False
PNR,False
PEP,False
PFE,False
PCG,False
PM,False
PSX,False
PNW,False
PNC,False
POOL,False
PPG,False
PPL,False
PFG,False
PG,False
PGR,False
PLD,False
PRU,False
PEG,False
PTC,False
PSA,False
PHM,False
PWR,False
QCOM,False
DGX,False
Q,False
RL,False
RJF,False
RTX,False
O,False
REG,False
REGN,False
RF,False
RSG,False
RMD,False
RVTY,False
HOOD,False
ROK,False
ROL,False
ROP,False
ROST,False
RCL,False
SPGI,False
CRM,False
